id,name,name_alternative,location,parent_id,parent_name
210-american-top-team-cape-coral,American Top Team Cape Coral,ATT Cape Coral,"Cape Coral, Florida",,
2114-spartan-chorzw,Spartan Chorzów,Gracie Barra Chorzów,"Chorzów, Poland",,
2118-renyi,Renyi,,"Umeå, Sweden",,
212-sityotdong-boston,Sityodtong Boston,Team Sityodtong,"Somerville, Massachusetts",,
2141-muskoka-kickboxing,Muskoka Kickboxing,,"Bracebridge, Ontario, Canada",,
2156-10th-planet-jiu-jitsu-buena-park,10th Planet Jiu Jitsu Buena Park,,"Buena Park, California",228-10th-planet-jiu-jitsu,10th Planet Jiu Jitsu
2169-scorpion-fighting-systems,Scorpion Fighting System,Team SFS,"Brighton, Michigan",,
2187-team-ryano-mma,Team Ryano MMA,BJJ Revolution Team,"Dublin, Ireland",,
2189-hawaii-elite-mma,Hawaii Elite MMA,,Hawaii,,
2192-fighting-division-bydgoszcz,Fighting Division Bydgoszcz,Fighting Division Combat Club - MMA Bydgoszcz,"Bydgoszcz, Poland",,
2198-grappling-krakw,Grappling Kraków,,"Kraków, Poland",,
2207-the-dungeon-bjj,The Dungeon BJJ,,"Sunderland, United Kingdom",,
2214-yoshida-dojo,Yoshida Dojo,吉田道場,"Tokyo, Japan",,
2220-ps-lab-osaka-x-pancrase-inagakigumi,P's LAB Osaka x Pancrase Inagakigumi,P's LAB大阪 x パンクラス稲垣組,"Naniwa, Osaka, Japan",3667-ps-lab-tokyo,P's Lab Tokyo
2226-trench-tech,Trench Tech,TT,"Saipan, Northern Mariana Islands",,
2241-saeksons-muay-thai,Saekson's Muay Thai,,"Van Nuys, California",,
2243-sombra-team-mma,Sombra Team MMA,Sombra Team Rafael Ghilosso,"Porto Alegre, Rio Grande do Sul, Brazil",,
2247-astra-fight-team,Astra Fight Team,,"Balneario Camboriu, Santa Catarina, Brazil",,
225-cape-cod-fighting-alliance,Cape Cod Fighting Alliance,CCFA,"Wareham, Massachusetts",,
2250-sok-thai,Sok Thai,Liga Sok Thai,"Bage, Rio Grande do Sul, Brazil",,
2270-bkk-fighters,BKK Fighters,,"Colchester, Essex, England",,
2276-team-alpha-male-japan,Team Alpha Male Japan,TAMJ,"Moriguchi, Osaka, Japan",108-team-alpha-male,Team Alpha Male
228-10th-planet-jiu-jitsu,10th Planet Jiu Jitsu,,"Los Angeles, California",,
2280-mach-dojo,Mach Dojo,"マッハ道場, Mach Dojo Ibaraki, マッハ道場茨城","Ryugasaki, Ibaraki, Japan",,
230-4oz-fight-club,4oz. Fight Club,"4oz, four ounce, 4 ounce","Houston, Texas",,
231-american-combative-systems,American Combative Systems,"ACS, Team Tooke","LaMarque, Texas",,
2312-paraguay-combat-team,Paraguay Combat Team,Academia Paraguay Combat Team,Paraguay,,
2317-paran-vale-tudo,Paraná Vale Tudo,"PRVT, Parana Vale Tudo","Rio de Janeiro, Brazil",,
233-alliance-mma,Alliance MMA,"Alliance Training Center, Alliance Jiu Jitsu","Chula Vista, California",,
236-american-top-team-beaumont,American Top Team Beaumont,ATT Beaumont,"Beaumont, Texas",,
2363-lobo-gym,Lobo Gym MMA,,"Guadalajara, Jalisco, Mexico",,
2364-samurai-fight-center-mma,Samurai Fight Center MMA,,"Guadalajara, Jalisco, Mexico",,
237-arlington-mma,Arlington MMA,"Arlington Fight Team, The Gym","Arlington, Texas",,
2373-bonebreakers-mma,Bonebreakers MMA,Bonebreakers Central,"Mexico City, Mexico",,
238-bastos-bjj-midland,Bastos BJJ Midland,Bruno Bastos Jiu Jitsu,"Midland, Texas",,
239-bighead-mma,Bighead MMA,,"Lubbock, Texas",,
2395-pejor,Pejor,,"Rio de Janeiro, Rio de Janeiro, Brazil",,
