id,event_id,bout_order,red_fighter_id,blue_fighter_id,red_outcome,blue_outcome,weight_class,type_verbose,performance_bonus,outcome_method,outcome_method_details,end_round,end_round_time_seconds,round_time_format,total_time_seconds
19da5aa17c896a1a,3c48019bc387b80c,3,fbf0947399d14323,af62f99eb7606308,L,W,Bantamweight,Bantamweight Bout,0,KO/TKO,Punch to Head At Distance,1,17,3 Rnd (5-5-5),17
9360a34eb511a9b4,3c48019bc387b80c,4,23459ee7e373b98f,b7f38813485745da,L,W,Middleweight,Middleweight Bout,0,KO/TKO,Punch to Head In Clinch,2,136,3 Rnd (5-5-5),436
0c58b5f37bfeb65a,3c48019bc387b80c,5,6f242453c91a5af0,0871254cd790c250,W,L,Featherweight,Featherweight Bout,1,Submission,Guillotine Choke Standing,1,283,3 Rnd (5-5-5),283
42f11b82d67585af,3c48019bc387b80c,6,879f6cae48d25baa,150ff4cc642270b9,L,W,Featherweight,Featherweight Bout,0,KO/TKO,Punch to Body In Clinch,2,289,3 Rnd (5-5-5),589
f0d5e2c27c9fd2c1,3c48019bc387b80c,7,acff437707625fc7,b2a2da86546ddb19,W,L,Middleweight,Middleweight Bout,0,KO/TKO,Punches to Head From Back Control,2,185,3 Rnd (5-5-5),485
c47cf097227cc6a0,3c48019bc387b80c,8,fe435e440b5de0ff,06f36cf4bd97ec77,NC,NC,Middleweight,Middleweight Bout,0,Overturned,Failed Drug Test by Shields Hale Hilsabeck 28 - 29. Dave Hagen 27 - 30. Tony Weeks 27 - 30.,3,300,3 Rnd (5-5-5),900
7c07a71fa1882bf4,3c48019bc387b80c,9,1d00756835ca67c9,ccd1299e0345e0ce,W,L,Lightweight,Lightweight Bout,1,KO/TKO,Kick to Head At Distance,1,76,3 Rnd (5-5-5),76
7ddf71a85fbb0e4c,3c48019bc387b80c,10,2676b28836a5a836,f2688492b9a525a3,W,L,Lightweight,UFC Lightweight Title Bout,0,Decision - Split,Tony Weeks 49 - 46. Dave Hagen 47 - 48. Mark Van Tine 47 - 48.,5,300,5 Rnd (5-5-5-5-5),1500
67f8ce4438cc1dd6,be9d259be012e8a4,1,887961364be5ceb3,343d57cde1a14338,W,L,Lightweight,Lightweight Bout,0,Decision - Unanimous,Larry Landless 27 - 30. John Newburg 27 - 30. Alejandro Rochin 27 - 30.,3,300,3 Rnd (5-5-5),900
31f1ef43f7ee82ce,be9d259be012e8a4,2,283645128ae57eda,1d239d571e342453,L,W,Women's Featherweight,Women's Featherweight Bout,0,Decision - Unanimous,Jackie Denkin 27 - 30. Lester Griffin 27 - 30. Alejandro Rochin 27 - 30.,3,300,3 Rnd (5-5-5),900
8e14eb886564af75,be9d259be012e8a4,3,1e327b281ef6a745,0b935b9bbbe5fc07,W,L,Middleweight,Middleweight Bout,0,KO/TKO,Punches to Head On Ground,1,48,3 Rnd (5-5-5),48
02ed9b0b15b4a427,be9d259be012e8a4,4,b96619b3acd7d9da,981ab7a0576f76a0,W,L,Women's Bantamweight,Women's Bantamweight Bout,0,Submission,Armbar On Ground,3,208,3 Rnd (5-5-5),808
607a4efc385dec1b,be9d259be012e8a4,5,50db8711c70196cd,fa238ecfd048f7d8,W,L,Light Heavyweight,Light Heavyweight Bout,0,KO/TKO,Punch to Head At Distance,3,20,3 Rnd (5-5-5),620
