id,name,promotion,date,venue,location,event_order
5,UFC 5: The Return of the Beast,UFC,1995-04-07,Independence Arena,"Charlotte, North Carolina, USA",1
7,UFC 7: The Brawl in Buffalo,UFC,1995-09-08,Buffalo Memorial Auditorium,"Buffalo, New York, USA",2
8,UU 95: Ultimate Ultimate 95,UFC,1995-12-16,Mammoth Gardens,"Denver, Colorado, USA",3
9,UFC 8: David vs. Goliath,UFC,1996-02-16,Coliseo Rubén Rodríguez,"San Juan, Puerto Rico",4
10,UFC 9: Motor City Madness,UFC,1996-05-17,Cobo Arena,"Detroit, Michigan, USA",5
11,UFC 10: The Tournament,UFC,1996-07-12,Fair Park Arena,"Birmingham, Alabama, USA",6
12,UFC 11: The Proving Ground,UFC,1996-09-20,Augusta Civic Center,"Augusta, Georgia, USA",7
14,UFC 12: Judgement Day,UFC,1997-02-07,Dothan Civic Center,"Dothan, Alabama, USA",8
15,UFC 13: The Ultimate Force,UFC,1997-05-30,Augusta Civic Center,"Augusta, Georgia, USA",9
16,UFC 14: Showdown,UFC,1997-07-27,Boutwell Auditorium,"Birmingham, Alabama, USA",10
17,UFC 15: Collision Course,UFC,1997-10-17,Casino Magic Bay St. Louis,"Bay St. Louis, Mississippi, USA",11
18,UFC Japan: Ultimate Japan 1,UFC,1997-12-21,Yokohama Arena,"Yokohama, Japan",12
19,UFC 16: Battle in the Bayou,UFC,1998-03-13,Pontchartrain Center,"New Orleans, Louisiana, USA",13
20,UFC 17: Redemption,UFC,1998-05-15,Mobile Civic Center,"Mobile, Alabama, USA",14
21,UFC Brazil: Ultimate Brazil,UFC,1998-10-16,Ginásio da Portuguesa,"Sao Paulo, Brazil",15
22,UFC 18: Road to the Heavyweight Title,UFC,1999-01-08,Pontchartrain Center,"New Orleans, Louisiana, USA",16
23,UFC 19: Ultimate Young Guns,UFC,1999-03-05,Casino Magic Bay St. Louis,"Bay St. Louis, Mississippi, USA",17
24,UFC 20: Battle for the Gold,UFC,1999-05-07,Boutwell Auditorium,"Birmingham, Alabama, USA",18
25,UFC 21: Return of the Champions,UFC,1999-07-16,Five Seasons Events Center,"Cedar Rapids, Iowa, USA",19
26,UFC 22: There Can Only Be One Champion,UFC,1999-09-24,Lake Charles Civic Center,"Lake Charles, Louisiana, USA",20
27,UFC 23: Ultimate Japan 2,UFC,1999-11-19,Tokyo Bay NK Hall,"Chiba, Japan",21
28,UFC 24: First Defense,UFC,2000-03-10,Lake Charles Civic Center,"Lake Charles, Louisiana, USA",22
29,UFC 25: Ultimate Japan 3,UFC,2000-04-14,Yoyogi National Gymnasium,"Tokyo, Japan",23
30,UFC 26: Ultimate Field of Dreams,UFC,2000-06-09,Five Seasons Events Center,"Cedar Rapids, Iowa, USA",24
31,UFC 27: Ultimate Bad Boyz,UFC,2000-09-22,Lakefront Arena,"New Orleans, Louisiana, USA",25
32,UFC 28: High Stakes,UFC,2000-11-17,Trump Taj Mahal Casino Resort,"Atlantic City, New Jersey, USA",26
33,UFC 29: Defense of the Belts,UFC,2000-12-16,Differ Ariake Arena,"Tokyo, Japan",27
34,UFC 30: Battle on the Boardwalk,UFC,2001-02-23,Trump Taj Mahal Casino Resort,"Atlantic City, New Jersey, USA",28
35,UFC 31: Locked & Loaded,UFC,2001-05-04,Trump Taj Mahal Casino Resort,"Atlantic City, New Jersey, USA",29
36,UFC 32: Showdown in the Meadowlands,UFC,2001-06-29,Continental Airlines Arena,"East Rutherford, New Jersey, USA",30
37,UFC 33: Victory in Vegas,UFC,2001-09-28,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",31
38,UFC 34: High Voltage,UFC,2001-11-02,MGM Grand Arena,"Las Vegas, Nevada, USA",32
39,UFC 35: Throwdown,UFC,2002-01-11,Mohegan Sun Arena,"Uncasville, Connecticut, USA",33
40,UFC 36: Worlds Collide,UFC,2002-03-22,MGM Grand Arena,"Las Vegas, Nevada, USA",34
41,UFC 37: High Impact,UFC,2002-05-10,CenturyTel Center,"Bossier City, Louisiana, USA",35
42,UFC 37.5: As Real As It Gets,UFC,2002-06-22,Bellagio,"Las Vegas, Nevada, USA",36
43,UFC 38: Brawl at the Hall,UFC,2002-07-13,Royal Albert Hall,"London, England",37
44,UFC 39: The Warriors Return,UFC,2002-09-27,Mohegan Sun Arena,"Uncasville, Connecticut, USA",38
46,UFC 41: Onslaught,UFC,2003-02-28,Boardwalk Hall,"Atlantic City, New Jersey, USA",39
47,UFC 42: Sudden Impact,UFC,2003-04-25,AmericanAirlines Arena,"Miami, Florida, USA",40
48,UFC 43: Meltdown,UFC,2003-06-06,Thomas and Mack Center,"Las Vegas, Nevada, USA",41
49,UFC 44: Undisputed,UFC,2003-09-26,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",42
50,UFC 45: Revolution,UFC,2003-11-21,Mohegan Sun Arena,"Uncasville, Connecticut, USA",43
51,UFC 46: Super Natural,UFC,2004-01-31,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",44
52,UFC 47: It's On,UFC,2004-04-02,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",45
53,UFC 48: Payback,UFC,2004-06-19,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",46
54,UFC 49: Unfinished Business,UFC,2004-08-21,MGM Grand Arena,"Las Vegas, Nevada, USA",47
55,UFC 50: The War of '04,UFC,2004-10-22,Boardwalk Hall,"Atlantic City, New Jersey, USA",48
56,UFC 51: Super Saturday,UFC,2005-02-05,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",49
57,TUF 1 Finale: The Ultimate Fighter Finale,UFC,2005-04-09,Cox Pavilion,"Las Vegas, Nevada, USA",50
58,UFC 52: Couture vs Liddell 2,UFC,2005-04-16,MGM Grand Arena,"Las Vegas, Nevada, USA",51
59,UFC 53: Heavy Hitters,UFC,2005-06-04,Boardwalk Hall,"Atlantic City, New Jersey, USA",52
60,UFN 1: Ultimate Fight Night,UFC,2005-08-06,Cox Pavilion,"Las Vegas, Nevada, USA",53
61,UFC 54: Boiling Point,UFC,2005-08-20,MGM Grand Arena,"Las Vegas, Nevada, USA",54
62,UFN 2: Ultimate Fight Night 2,UFC,2005-10-03,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",55
63,UFC 55: Fury,UFC,2005-10-07,Mohegan Sun Arena,"Uncasville, Connecticut, USA",56
64,TUF 2 Finale: The Ultimate Fighter 2 Finale,UFC,2005-11-05,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",57
65,UFC 56: Full Force,UFC,2005-11-19,MGM Grand Arena,"Las Vegas, Nevada, USA",58
66,UFN 3: Ultimate Fight Night 3,UFC,2006-01-16,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",59
67,UFC 57: Liddell vs Couture 3,UFC,2006-02-04,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",60
68,UFC 58: USA vs Canada,UFC,2006-03-04,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",61
191,Strikeforce: Shamrock vs. Gracie,SF,2006-03-10,HP Pavilion at San Jose,"San Jose, California, USA",62
69,UFN 4: Ultimate Fight Night 4,UFC,2006-04-06,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",63
70,UFC 59: Reality Check,UFC,2006-04-15,Arrowhead Pond of Anaheim,"Anaheim, California, USA",64
71,UFC 60: Hughes vs Gracie,UFC,2006-05-27,Staples Center,"Los Angeles, California, USA",65
192,Strikeforce: Revenge,SF,2006-06-09,HP Pavilion at San Jose,"San Jose, California, USA",66
72,TUF 3 Finale: The Ultimate Fighter 3 Finale,UFC,2006-06-24,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",67
73,UFN 5: Ultimate Fight Night 5,UFC,2006-06-28,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",68
74,UFC 61: Bitter Rivals,UFC,2006-07-08,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",69
75,UFN 6: UFC Fight Night 6,UFC,2006-08-17,Red Rock Resort Spa and Casino,"Las Vegas, Nevada, USA",70
76,UFC 62: Liddell vs Sobral,UFC,2006-08-26,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",71
77,UFC 63: Hughes vs Penn,UFC,2006-09-23,Arrowhead Pond of Anaheim,"Anaheim, California, USA",72
78,Ortiz/Shamrock 3: The Final Chapter,UFC,2006-10-10,Seminole Hard Rock Hotel and Casino,"Hollywood, Florida, USA",73
79,UFC 64: Unstoppable,UFC,2006-10-14,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",74
80,TUF 4 Finale: The Ultimate Fighter 4 Finale,UFC,2006-11-11,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",75
81,UFC 65: Bad Intentions,UFC,2006-11-18,ARCO Arena,"Sacramento, California, USA",76
193,Strikeforce: Triple Threat,SF,2006-12-08,HP Pavilion at San Jose,"San Jose, California, USA",77
82,UFN 7: UFC Fight Night 7,UFC,2006-12-13,MCAS Miramar,"San Diego, California, USA",78
83,UFC 66: Liddell vs. Ortiz 2,UFC,2006-12-30,MGM Grand Arena,"Las Vegas, Nevada, USA",79
160,WEC 25: McCullough vs. Cope,WEC,2007-01-20,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",80
84,UFN 8: UFC Fight Night 8,UFC,2007-01-25,Seminole Hard Rock Hotel and Casino,"Hollywood, Florida, USA",81
85,UFC 67: All or Nothing,UFC,2007-02-03,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",82
399,Strikeforce: Young Guns,SF,2007-02-10,San Jose Civic Auditorium,"San Jose, California, USA",83
86,UFC 68: The Uprising,UFC,2007-03-03,Nationwide Arena,"Columbus, Ohio, USA",84
161,WEC 26: Condit vs. Alessio,WEC,2007-03-24,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",85
87,UFN 9: UFC Fight Night 9,UFC,2007-04-05,Palms Casino Resort,"Las Vegas, Nevada, USA",86
88,UFC 69: Shootout,UFC,2007-04-07,Toyota Center,"Houston, Texas, USA",87
89,UFC 70: Nations Collide,UFC,2007-04-21,Manchester Evening News Arena,"Manchester, England",88
162,WEC 27: Marshall vs. McElfresh,WEC,2007-05-12,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",89
90,UFC 71: Liddell vs. Jackson,UFC,2007-05-26,MGM Grand Arena,"Las Vegas, Nevada, USA",90
163,WEC 28: WrekCage,WEC,2007-06-03,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",91
91,UFN 10: UFC Fight Night 10,UFC,2007-06-12,Seminole Hard Rock Hotel and Casino,"Hollywood, Florida, USA",92
92,UFC 72: Victory,UFC,2007-06-16,The Odyssey,"Belfast, Northern Ireland",93
194,Strikeforce: Shamrock vs. Baroni,SF,2007-06-22,HP Pavilion at San Jose,"San Jose, California, USA",94
94,UFC 73: Stacked,UFC,2007-07-07,ARCO Arena,"Sacramento, California, USA",95
164,WEC 29: Condit vs. Larson,WEC,2007-08-05,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",96
95,UFC 74: Respect,UFC,2007-08-25,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",97
165,WEC 30: McCullough vs. Crunkilton,WEC,2007-09-05,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",98
96,UFC 75: Champion vs. Champion,UFC,2007-09-08,The O2 Arena,"London, England",99
97,UFN 11: UFC Fight Night 11,UFC,2007-09-19,Palms Casino Resort,"Las Vegas, Nevada, USA",100
98,UFC 76: Knockout,UFC,2007-09-22,Honda Center,"Anaheim, California, USA",101
195,Strikeforce: Playboy Mansion,SF,2007-09-29,The Playboy Mansion,"Los Angeles, California, USA",102
99,UFC 77: Hostile Territory,UFC,2007-10-20,U.S. Bank Arena,"Cincinnati, Ohio, USA",103
196,"Strikeforce: Four Men Enter, One Man Survives",SF,2007-11-16,HP Pavilion at San Jose,"San Jose, California, USA",104
100,UFC 78: Validation,UFC,2007-11-17,Prudential Center,"Newark, New Jersey, USA",105
102,TUF 6 Finale: The Ultimate Fighter 6 Finale,UFC,2007-12-08,Palms Casino Resort,"Las Vegas, Nevada, USA",106
166,WEC 31: Faber vs. Curran,WEC,2007-12-12,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",107
101,UFC 79: Nemesis,UFC,2007-12-29,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",108
103,UFC 80: Rapid Fire,UFC,2008-01-19,Metro Radio Arena,"Newcastle, England",109
104,UFN 12: UFC Fight Night 12,UFC,2008-01-23,Palms Casino Resort,"Las Vegas, Nevada, USA",110
400,Strikeforce: Young Guns 2,SF,2008-02-01,San Jose Civic Auditorium,"San Jose, California, USA",111
105,UFC 81: Breaking Point,UFC,2008-02-02,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",112
167,WEC 32: Condit vs. Prater,WEC,2008-02-13,Santa Ana Star Center,"Rio Rancho, New Mexico, USA",113
197,Strikeforce: At The Dome,SF,2008-02-23,Tacoma Dome,"Tacoma, Washington, USA",114
106,UFC 82: Pride of a Champion,UFC,2008-03-01,Nationwide Arena,"Columbus, Ohio, USA",115
168,WEC 33: Marshall vs. Stann,WEC,2008-03-26,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",116
198,Strikeforce: Shamrock vs. Le,SF,2008-03-29,HP Pavilion at San Jose,"San Jose, California, USA",117
107,UFN 13: UFC Fight Night 13,UFC,2008-04-02,Broomfield Event Center,"Broomfield, Colorado, USA",118
108,UFC 83: Serra vs. St. Pierre 2,UFC,2008-04-19,Bell Centre,"Montreal, Quebec, Canada",119
109,UFC 84: Ill Will,UFC,2008-05-24,MGM Grand Garden Arena,"Las Vegas, Nevada, USA",120
169,WEC 34: Faber vs. Pulver,WEC,2008-06-01,ARCO Arena,"Sacramento, California, USA",121
110,UFC 85: Bedlam,UFC,2008-06-07,The O2 Arena,"London, England",122
111,TUF 7 Finale: The Ultimate Fighter 7 Finale,UFC,2008-06-21,Palms Casino Resort,"Las Vegas, Nevada, USA",123
199,Strikeforce: Melendez vs. Thomson,SF,2008-06-27,HP Pavilion at San Jose,"San Jose, California, USA",124
112,UFC 86: Jackson vs. Griffin,UFC,2008-07-05,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",125
113,UFN 14: Silva vs. Irvin,UFC,2008-07-19,Palms Casino Resort,"Las Vegas, Nevada, USA",126
170,WEC 35: Condit vs. Miura,WEC,2008-08-03,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",127
114,UFC 87: Seek and Destroy,UFC,2008-08-09,Target Center,"Minneapolis, Minnesota, USA",128
115,UFC 88: Breakthrough,UFC,2008-09-06,Philips Arena,"Atlanta, Georgia, USA",129
401,Strikeforce: Young Guns 3,SF,2008-09-13,San Jose Civic Auditorium,"San Jose, California, USA",130
116,UFN 15: Diaz vs. Neer,UFC,2008-09-17,Omaha Civic Auditorium,"Omaha, Nebraska, USA",131
200,Strikeforce: At The Mansion II,SF,2008-09-20,The Playboy Mansion,"Los Angeles, California, USA",132
201,Strikeforce: Payback,SF,2008-10-03,Broomfield Events Center,"Broomfield, Colorado, USA",133
117,UFC 89: Bisping vs. Leben,UFC,2008-10-18,National Indoor Arena,"Birmingham, England",134
118,UFC 90: Silva vs. Cote,UFC,2008-10-25,Allstate Arena,"Rosemont, Illinois, USA",135
171,WEC 36: Faber vs. Brown,WEC,2008-11-05,Seminole Hard Rock Hotel and Casino,"Hollywood, Florida, USA",136
119,UFC 91: Couture vs. Lesnar,UFC,2008-11-15,MGM Grand Garden Arena,"Las Vegas, Nevada, USA",137
202,Strikeforce: Destruction,SF,2008-11-21,HP Pavilion at San Jose,"San Jose, California, USA",138
172,WEC 37: Torres vs. Tapia,WEC,2008-12-03,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",139
120,UFN 16: Fight for the Troops,UFC,2008-12-10,Crown Coliseum,"Fayetteville, North Carolina, USA",140
121,TUF 8 Finale: The Ultimate Fighter 8 Finale,UFC,2008-12-13,Palms Casino Resort,"Las Vegas, Nevada, USA",141
122,UFC 92: The Ultimate 2008,UFC,2008-12-27,MGM Grand Garden Arena,"Las Vegas, Nevada, USA",142
123,UFC 93: Franklin vs. Henderson,UFC,2009-01-17,"The O2, Dublin","Dublin, Ireland",143
173,WEC 38: Varner vs. Cerrone,WEC,2009-01-25,San Diego Sports Arena,"San Diego, California, USA",144
124,UFC 94: St. Pierre vs. Penn 2,UFC,2009-01-31,MGM Grand Garden Arena,"Las Vegas, Nevada, USA",145
125,UFN 17: Lauzon vs. Stephens,UFC,2009-02-07,USF Sun Dome,"Tampa, Florida, USA",146
126,UFC 95: Sanchez vs. Stevenson,UFC,2009-02-21,The O2 Arena,"London, England",147
174,WEC 39: Brown vs. Garcia,WEC,2009-03-01,American Bank Center,"Corpus Christi, Texas, USA",148
127,UFC 96: Jackson vs. Jardine,UFC,2009-03-07,Nationwide Arena,"Columbus, Ohio, USA",149
128,UFN 18: Condit vs. Kampmann,UFC,2009-04-01,Sommet Center,"Nashville, Tennessee, USA",150
293,Bellator 1: Bellator I,BELLATOR,2009-04-03,Seminole Hard Rock Hotel & Casino,"Hollywood, Florida, USA",151
175,WEC 40: Torres vs. Mizugaki,WEC,2009-04-05,UIC Pavilion,"Chicago, Illinois, USA",152
292,Bellator 2: Bellator II,BELLATOR,2009-04-10,Mohegan Sun Arena,"Uncasville, Connecticut, USA",153
203,Strikeforce: Shamrock vs. Diaz,SF,2009-04-11,HP Pavilion at San Jose,"San Jose, California, USA",154
291,Bellator 3 & 4: Bellator III & IV,BELLATOR,2009-04-17,Lloyd Noble Center,"Norman, Oklahoma, USA",155
129,UFC 97: Redemption,UFC,2009-04-18,Bell Centre,"Montreal, Quebec, Canada",156
290,Bellator 5: Bellator V,BELLATOR,2009-05-01,Hara Arena,"Dayton, Ohio, USA",157
289,Bellator 6: Bellator VI,BELLATOR,2009-05-08,Central Pavilion Arena,"Robstown, Texas, USA",158
226,ShoMMA 1: Evangelista vs. Aina,SF,2009-05-15,Save Mart Center,"Fresno, California, USA",159
288,Bellator 7: Bellator VII,BELLATOR,2009-05-15,Aragon Ballroom,"Chicago, Illinois, USA",160
130,UFC 98: Evans vs. Machida,UFC,2009-05-23,MGM Grand Garden Arena,"Las Vegas, Nevada, USA",161
286,Bellator 9: Bellator IX,BELLATOR,2009-05-29,Monroe Civic Center,"Monroe, Louisiana, USA",162
285,Bellator 10: Bellator X,BELLATOR,2009-06-05,Citizens Business Bank Arena,"Ontario, California, USA",163
204,Strikeforce: Lawler vs. Shields,SF,2009-06-06,Scottrade Center,"St. Louis, Missouri, USA",164
176,WEC 41: Brown vs. Faber II,WEC,2009-06-07,ARCO Arena,"Sacramento, California, USA",165
284,Bellator 11: Bellator XI,BELLATOR,2009-06-12,Mohegan Sun Arena,"Uncasville, Connecticut, USA",166
131,UFC 99: The Comeback,UFC,2009-06-13,Lanxess Arena,"Cologne, Germany",167
227,ShoMMA 2: Villasenor vs. Cyborg,SF,2009-06-19,ShoWare Center,"Kent, Washington, USA",168
283,Bellator 12: Bellator XII,BELLATOR,2009-06-19,Seminole Hard Rock Hotel & Casino,"Hollywood, Florida, USA",169
132,TUF 9 Finale: The Ultimate Fighter 9 Finale,UFC,2009-06-20,Palms Casino Resort,"Las Vegas, Nevada, USA",170
133,UFC 100: Lesnar vs. Mir,UFC,2009-07-11,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",171
134,UFC 101: Declaration,UFC,2009-08-08,Wachovia Center,"Philadelphia, Pennsylvania, USA",172
177,WEC 42: Torres vs. Bowles,WEC,2009-08-09,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",173
205,Strikeforce: Carano vs. Cyborg,SF,2009-08-15,HP Pavilion at San Jose,"San Jose, California, USA",174
135,UFC 102: Couture vs. Nogueira,UFC,2009-08-29,Rose Garden,"Portland, Oregon, USA",175
136,UFN 19: Diaz vs. Guillard,UFC,2009-09-16,Cox Convention Center,"Oklahoma City, Oklahoma, USA",176
137,UFC 103: Franklin vs. Belfort,UFC,2009-09-19,American Airlines Center,"Dallas, Texas, USA",177
230,ShoMMA 3: Kennedy vs. Cummings,SF,2009-09-25,SpiritBank Event Center,"Bixby, Oklahoma, USA",178
178,WEC 43: Cerrone vs. Henderson,WEC,2009-10-10,AT&T Center,"San Antonio, Texas, USA",179
138,UFC 104: Machida vs. Shogun,UFC,2009-10-24,Staples Center,"Los Angeles, California, USA",180
231,ShoMMA 4: Gurgel vs. Evangelista,SF,2009-11-06,Save Mart Center,"Fresno, California, USA",181
206,Strikeforce: Fedor vs. Rogers,SF,2009-11-07,Sears Center,"Hoffman Estates, Illinois, USA",182
139,UFC 105: Couture vs. Vera,UFC,2009-11-14,Manchester Evening News Arena,"Manchester, England",183
179,WEC 44: Brown vs. Aldo,WEC,2009-11-18,The Pearl at The Palms,"Las Vegas, Nevada, USA",184
232,ShoMMA 5: Woodley vs. Bears,SF,2009-11-20,Memorial Hall,"Kansas City, Kansas, USA",185
140,UFC 106: Ortiz vs. Griffin 2,UFC,2009-11-21,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",186
141,TUF 10 Finale: The Ultimate Fighter 10 Finale,UFC,2009-12-05,Palms Casino Resort,"Las Vegas, Nevada, USA",187
142,UFC 107: Penn vs. Sanchez,UFC,2009-12-12,FedExForum,"Memphis, Tennessee, USA",188
207,Strikeforce: Evolution,SF,2009-12-19,HP Pavilion at San Jose,"San Jose, California, USA",189
180,WEC 45: Cerrone vs. Ratcliff,WEC,2009-12-29,The Pearl at The Palms,"Las Vegas, Nevada, USA",190
143,UFC 108: Evans vs. Silva,UFC,2010-01-02,MGM Grand Garden Arena,"Las Vegas, Nevada, USA",191
181,WEC 46: Varner vs. Henderson,WEC,2010-01-10,ARCO Arena,"Sacramento, California, USA",192
144,UFN 20: Maynard vs. Diaz,UFC,2010-01-11,Patriot Center,"Fairfax, Virginia, USA",193
208,Strikeforce: Miami,SF,2010-01-30,BankAtlantic Center,"Sunrise, Florida, USA",194
145,UFC 109: Relentless,UFC,2010-02-06,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",195
146,UFC 110: Nogueira vs. Velasquez,UFC,2010-02-21,Acer Arena,"Sydney, Australia",196
233,ShoMMA 6: Kaufman vs. Hashi,SF,2010-02-26,San Jose Civic Auditorium,"San Jose, California, USA",197
182,WEC 47: Bowles vs. Cruz,WEC,2010-03-06,Nationwide Arena,"Columbus, Ohio, USA",198
147,UFC Live: Vera vs. Jones,UFC,2010-03-21,1stBank Center,"Broomfield, Colorado, USA",199
234,ShoMMA 7: Johnson vs. Mahe,SF,2010-03-26,Save Mart Center,"Fresno, California, USA",200
148,UFC 111: St. Pierre vs. Hardy,UFC,2010-03-27,Prudential Center,"Newark, New Jersey, USA",201
149,UFN 21: Florian vs. Gomi,UFC,2010-03-31,Bojangles Coliseum,"Charlotte, North Carolina, USA",202
282,Bellator 13: Bellator XIII,BELLATOR,2010-04-08,Seminole Hard Rock Hotel & Casino,"Hollywood, Florida, USA",203
150,UFC 112: Invincible,UFC,2010-04-10,Ferrari World,"Abu Dhabi, United Arab Emirates",204
281,Bellator 14: Bellator XIV,BELLATOR,2010-04-15,Chicago Theatre,"Chicago, Illinois, USA",205
209,Strikeforce: Nashville,SF,2010-04-17,Bridgestone Arena,"Nashville, Tennessee, USA",206
280,Bellator 15: Bellator XV,BELLATOR,2010-04-22,Mohegan Sun Arena,"Uncasville, Connecticut, USA",207
183,WEC 48: Aldo vs. Faber,WEC,2010-04-24,ARCO Arena,"Sacramento, California, USA",208
278,Bellator 16: Bellator XVI,BELLATOR,2010-04-29,Kansas City Power & Light District,"Kansas City, Missouri, USA",209
277,Bellator 17: Bellator XVII,BELLATOR,2010-05-06,Citi Performing Arts Center: Wang Theatre,"Boston, Massachusetts, USA",210
152,UFC 113: Machida vs. Shogun 2,UFC,2010-05-08,Bell Centre,"Montreal, Quebec, Canada",211
275,Bellator 18: Bellator XVIII,BELLATOR,2010-05-13,Monroe Civic Center,"Monroe, Louisiana, USA",212
210,Strikeforce: Heavy Artillery,SF,2010-05-15,Scottrade Center,"St. Louis, Missouri, USA",213
274,Bellator 19: Bellator XIX,BELLATOR,2010-05-20,Verizon Theater,"Grand Prairie, Texas, USA",214
235,ShoMMA 8: Lindland vs. Casey,SF,2010-05-21,Rose Garden,"Portland, Oregon, USA",215
273,Bellator 20: Bellator XX,BELLATOR,2010-05-27,Majestic Theatre,"San Antonio, Texas, USA",216
153,UFC 114: Rampage vs. Evans,UFC,2010-05-29,MGM Grand Garden Arena,"Las Vegas, Nevada, USA",217
272,Bellator 21: Bellator XXI,BELLATOR,2010-06-10,Seminole Hard Rock Hotel & Casino,"Hollywood, Florida, USA",218
155,UFC 115: Liddell vs. Franklin,UFC,2010-06-12,General Motors Place,"Vancouver, British Columbia, Canada",219
211,Strikeforce: Los Angeles,SF,2010-06-16,Nokia Theatre,"Los Angeles, California, USA",220
271,Bellator 22: Bellator XXII,BELLATOR,2010-06-17,Kansas City Power & Light District,"Kansas City, Missouri, USA",221
156,TUF 11 Finale: The Ultimate Fighter 11 Finale,UFC,2010-06-19,Palms Casino Resort,"Las Vegas, Nevada, USA",222
184,WEC 49: Varner vs. Shalorus,WEC,2010-06-20,Rexall Place,"Edmonton, Alberta, Canada",223
270,Bellator 23: Bellator XXIII,BELLATOR,2010-06-24,Fourth Street Live!,"Louisville, Kentucky, USA",224
212,Strikeforce: Fedor vs. Werdum,SF,2010-06-26,HP Pavilion at San Jose,"San Jose, California, USA",225
157,UFC 116: Lesnar vs. Carwin,UFC,2010-07-03,MGM Grand Garden Arena,"Las Vegas, Nevada, USA",226
236,ShoMMA 9: Rosario vs. Mahe,SF,2010-07-23,Comcast Arena at Everett,"Everett, Washington, USA",227
158,UFC Live: Jones vs. Matyushenko,UFC,2010-08-01,San Diego Sports Arena,"San Diego, California, USA",228
159,UFC 117: Silva vs. Sonnen,UFC,2010-08-07,Oracle Arena,"Oakland, California, USA",229
269,Bellator 24: Bellator XXIV,BELLATOR,2010-08-12,Seminole Hard Rock Hotel & Casino,"Hollywood, Florida, USA",230
237,ShoMMA 10: Riggs vs. Taylor,SF,2010-08-13,Dodge Theatre,"Phoenix, Arizona, USA",231
185,WEC 50: Cruz vs. Benavidez 2,WEC,2010-08-18,The Pearl at The Palms,"Las Vegas, Nevada, USA",232
268,Bellator 25: Bellator XXV,BELLATOR,2010-08-19,Chicago Theatre,"Chicago, Illinois, USA",233
213,Strikeforce: Houston,SF,2010-08-21,Toyota Center,"Houston, Texas, USA",234
266,Bellator 26: Bellator XXVI,BELLATOR,2010-08-26,Kansas City Power & Light District,"Kansas City, Missouri, USA",235
186,UFC 118: Edgar vs. Penn 2,UFC,2010-08-28,TD Garden,"Boston, Massachusetts, USA",236
265,Bellator 27: Bellator XXVII,BELLATOR,2010-09-02,Majestic Theatre,"San Antonio, Texas, USA",237
264,Bellator 28: Bellator XXVIII,BELLATOR,2010-09-09,Mahalia Jackson Theater,"New Orleans, Louisiana, USA",238
188,UFN 22: Marquardt vs. Palhares,UFC,2010-09-15,Frank Erwin Center,"Austin, Texas, USA",239
263,Bellator 29: Bellator XXIX,BELLATOR,2010-09-16,The Rave,"Milwaukee, Wisconsin, USA",240
262,Bellator 30: Bellator XXX,BELLATOR,2010-09-23,Fourth Street Live!,"Louisville, Kentucky, USA",241
189,UFC 119: Mir vs. Cro Cop,UFC,2010-09-25,Conseco Fieldhouse,"Indianapolis, Indiana, USA",242
261,Bellator 31: Bellator XXXI,BELLATOR,2010-09-30,L'Auberge du Lac Resort,"Lake Charles, Louisiana, USA",243
190,WEC 51: Aldo vs. Gamburyan,WEC,2010-09-30,1stBank Center,"Broomfield, Colorado, USA",244
