id,pk,slug,name,nickname,date_of_birth,height_centimeters,reach_inches,leg_reach_inches,fighting_style,stance,nationality
RmlnaHRlck5vZGU6MTAzNw==,1037,michel-dos-prazeres-1037,Michel dos Prazeres,Tractor,1983-07-25,167.0,67.0,37.0,BJJ Grappler,Orthodox,Brazil
RmlnaHRlck5vZGU6MTAzOA==,1038,danny-downes-1038,Danny Downes,Boy,1986-04-08,183.0,72.0,,,Orthodox,"Chicago, Illinois, United States"
RmlnaHRlck5vZGU6MTAzOQ==,1039,derek-downey-1039,Derek Downey,The Gentleman,1980-04-27,188.0,,,,,United States
RmlnaHRlck5vZGU6MTE0MA==,1140,julie-kedzie-1140,Julie Kedzie,Fireball,1981-03-18,165.0,64.5,,,Orthodox,United States
RmlnaHRlck5vZGU6MTE0MQ==,1141,cj-keith-1141,CJ Keith,,1986-08-09,183.0,73.0,,,Orthodox,United States
RmlnaHRlck5vZGU6MTE0Mg==,1142,tim-kennedy-1142,Tim Kennedy,The Hero,1979-09-01,181.0,74.0,40.0,Striker / BJJ Grappler,Orthodox,United States
RmlnaHRlck5vZGU6MTE0Mw==,1143,rustam-khabilov-1143,Rustam Khabilov,Tiger,1986-11-04,175.0,73.0,40.0,Well Rounded,Orthodox,Russia
RmlnaHRlck5vZGU6MTE0NA==,1144,dustin-kimura-1144,Dustin Kimura,The Diamond,,170.0,71.0,,Striker / BJJ Grappler,Orthodox,United States
RmlnaHRlck5vZGU6MTE0NQ==,1145,erik-koch-1145,Erik Koch,New Breed,1988-10-04,178.0,70.0,,Striker,Southpaw,United States
RmlnaHRlck5vZGU6MTE0NTk=,11459,carlos-leal-miranda-11459,Carlos Leal Miranda,Carlao,1993-05-04,180.3,74.5,,,,Brazil
RmlnaHRlck5vZGU6MTE0Ng==,1146,pascal-krauss-1146,Pascal Krauss,Panzer,1987-04-19,185.0,75.0,,Striker,Orthodox,Germany
RmlnaHRlck5vZGU6MTE0Nw==,1147,nikita-krylov-1147,Nikita Krylov,The Al Capone,1992-03-07,191.0,78.0,44.0,Striker,Orthodox,Ukraine
RmlnaHRlck5vZGU6MTE0OA==,1148,michael-kuiper-1148,Michael Kuiper,Judo,1989-06-07,185.0,73.0,,Striker / Grappler,Orthodox,Netherlands
RmlnaHRlck5vZGU6MTE0OQ==,1149,anton-kuivanen-1149,Anton Kuivanen,,1984-05-01,176.0,72.0,,Striker,Orthodox,Finland
RmlnaHRlck5vZGU6MTE0OTc=,11497,karine-gevorgyan-11497,Karine Gevorgyan,Princess,,172.7,,,,,Armenia
RmlnaHRlck5vZGU6MTE1,115,tj-obrien-115,T.J. O'Brien,The Spider,1987-01-01,188.0,78.0,,BJJ Grappler,,United States
RmlnaHRlck5vZGU6MTE1MA==,1150,ryan-laflare-1150,Ryan LaFlare,,1983-11-01,185.0,74.0,42.0,Striker / Wrestler,Southpaw,United States
RmlnaHRlck5vZGU6MTE1MDU=,11505,brok-weaver-11505,Brok Weaver,Chata Tuska,1991-12-05,183.0,73.0,,Striker,Southpaw,United States
RmlnaHRlck5vZGU6MTE1MQ==,1151,ricardo-lamas-1151,Ricardo Lamas,The Bully,1982-05-21,173.0,71.0,,Well Rounded,Orthodox,United States
