id,name,nickname,height_inches,reach_inches,stance,date_of_birth
154a6b3ffae264cd,Pawel Nastula,,72.0,,Southpaw,1970-06-26
15515e797aedc137,Joey Villasenor,Smokin' Joe,72.0,,Orthodox,1975-10-17
155a02a8b4311057,Dos Caras Jr.,,76.0,,Orthodox,1977-05-25
155bfc7ed36622df,Solomon Hutcherson,King,71.0,,Southpaw,1972-08-31
1562b12763cc8d67,Alex Andrade,El Toro,71.0,,Orthodox,1974-05-14
1588b787bda7b540,Tom Breese,,75.0,73.0,Southpaw,1991-09-26
159da492e000afbf,Leandro Silva,Buscape,69.0,72.0,Orthodox,1985-11-11
15b1b21cd743d652,Rafaello Oliveira,Tractor,68.0,71.0,Orthodox,1982-01-26
15dedd05f8bcb475,Alexander Crispim,,,,,
15df64c02b6b0fde,Danny Abbadi,The Assassin,71.0,,Orthodox,1983-07-03
15ea371202eb25e1,Roberto Romero,El Charro Negro,68.0,70.0,Orthodox,2000-01-30
15ec018d144710db,Nathan Coy,Soulforce,70.0,69.0,Southpaw,1978-07-24
15edcf67ccf5be84,Brian Geraghty,Duke,67.0,,Orthodox,1980-11-04
15f4550e017f6c7d,Rhadi Ferguson,,67.0,,,
16044bd8762cf794,Adam Steele,,,,,
160b931119c1bf91,Jesse Gillespie,,,,,
1641ef250e9de19b,Sarah Frota,A Treta,66.0,69.0,Southpaw,1987-04-14
1649770c649db6a5,Diego Henrique da Silva,Gaucho,74.0,,Orthodox,1986-08-22
1652f3213655b935,Phil Baroni,The New York Bad Ass,69.0,72.0,Orthodox,1976-04-16
165c244bcca3ed26,Seo Hee Ham,,62.0,62.0,Southpaw,1987-03-08
16690d100f995f8f,Omari Akhmedov,Wolverine,72.0,73.0,Orthodox,1987-10-12
16867810070dc520,Josh Pulsifer,The Platypus,70.0,,,1983-03-16
16a64f93f6678b7b,Martin Sano,Spartan,71.0,75.0,Orthodox,1991-05-30
16af2d5a6f28bee2,Quinn Mulhern,,75.0,,Orthodox,1984-09-20
